Name,City,State,Country,Latitude,Longitude,Color
Wayne Williams,Atlanta,GA,USA,33.753746,-84.38633,#874527
Randall Woodfield,Salem,OR,USA,44.9429,-123.0351,#874528
William Wickline,Reynoldsburg,OH,USA,39.956,-82.8008,#874529
Arthur Gary Bishop,Hinckley,UT,USA,41.1909,-112.0073,#874530
Terry Childs,Santa Clara County,CA,USA,37.354107,-121.955238,#874531
Nicholas Todd Sutton,Morristown,TN,USA,36.213982,-83.294891,#874532
Joseph James DeAngelo,Bath,NY,USA,42.3358,-77.3167,#874533
Daniel Lee Siebert,Mattoon,IL,USA,39.4831,-88.3728,#874534
Terry Hyatt,Asheville,NC,USA,35.601,-82.554,#874535
Marvin Irvin,St. Joseph,MO,USA,39.766853,-94.834152,#874536
Ivan Hill,Los Angeles,CA,USA,34.052235,-118.243683,#874537
Carol M. Bundy,,CA,USA,36.778259,-119.417931,#874538
Doug Clark,,PA,USA,41.203323,-77.194527,#874539
Scott William Cox,Newberg,OR,USA,45.3004,-122.9759,#874540
Charles Albanese,Chicago,IL,USA,41.881832,-87.623177,#874541
Joseph Christopher,Buffalo,NY,USA,42.88023,-78.878738,#874542
Stephen McCoy,Hamilton County,OH,USA,39.101454,-84.51246,#874543
James Paster,Hamilton County,OH,USA,39.101454,-84.51246,#874544
Christine Falling,Perry,FL,USA,30.1177,-83.5827,#874545
David Mason,Statesboro,GA,USA,32.4405,-81.7742,#874546
Paul Michael Stephani,Austin,MN,USA,43.6666,-92.9746,#874547
Martin Priest,Nevada,MO,USA,37.839149,-94.355278,#874548
John Charles Bolsinger,Springfield,OR,USA,44.046204,-123.023346,#874549
Willie Ben Jones,Richmond,VA,USA,,,#874550
Charles T. Sinclair,Jal,NM,USA,32.113182,-103.193512,#874551
Herb Baumeister,INpolis,IN,USA,39.791,-86.148003,#874552
Tommy Lynn Sells,Oakland,CA,USA,37.804363,-122.271111,#874553
Reginald Perkins,Woodruff County,AR,USA,35.18627459,-91.24306034,#874554
Shirley Winters,,NY,USA,43,-75,#874555
Kelvin Malone,Seaside,CA,USA,36.614906,-121.842628,#874556
Marion Albert Pruett,Gastonia,NC,USA,35.25528,-81.180275,#874557
David Bullock,Anchorage,AK,USA,61.217381,-149.863129,#874558
(The Ripper Crew) Robin Gecht,Menard,IL,USA,40.055153,-89.727753,#874559
(The Ripper Crew) Andrew Kokoraleis,Villa Park,IL,USA,41.889752,-87.988954,#874560
(The Ripper Crew) Thomas Kokoraleis,Villa Park,IL,USA,41.889752,-87.988954,#874561
(The Ripper Crew) Edward Spreitzer,Chicago,IL,USA,41.881832,-87.623177,#874562
Michael Darnell Harris,Muskegon Heights,MI,USA,43.2007,-86.2367,#874563
Robert Anthony Buell,Norwood,OH,USA,39.1556,-84.4597,#874564
(the San Francisco Witch Killers) Michael Bear Carson,Phoenix,AZ,USA,,,#874565
(the San Francisco Witch Killers) Suzan Carson,Scottsdale,AZ,USA,,,#874566
David Alan Gore,,FL,USA,27.994402,-81.760254,#874567
Brandon Tholmer,New Orleans,LA,USA,29.951065,-90.071533,#874568
Wilbur Lee Jennings,Shreveport,LA,USA,32.4675,-93.7693,#874569
Michael Bruce Ross,Putnam,CT,USA,41.9198,-71.9045,#874570
William Scott Smith,Portland,OR,USA,45.523064,-122.676483,#874571
Robert Rozier,Anchorage,AK,USA,61.317383,-149.963129,#874572
Robert Joseph Silveria Jr.,Redwood City,CA,USA,37.487846,-122.236115,#874573
Michael Swango,Tacoma,WA,USA,47.258728,-122.465973,#874574
(Neelley couple) Alvin Neelley,Trion,GA,USA,34.5397,-85.3063,#874575
(Neelley couple) Judith Neelley,Murfreesboro,TN,USA,35.846111,-86.391945,#874576
Mary Silvani,Pontiac,MI,USA,42.638924,-83.291046,#874577
John Joubert,Lawrence,MA,USA,42.707,-71.1631,#874578
Larry Eyler,Crawfordsville,IN,USA,40.0367,-86.8913,#874579
Diane O'Dell,Orwell Township,PA,USA,41.9125747,-76.3146575,#874580
Dorothea Puente,Redlands,CA,USA,34.055569,-117.182541,#874581
Gary Ridgway,Salt Lake City,UT,USA,40.759926,-111.884888,#874582
Terry Blair,KS City,MO,USA,39.099724,-94.578331,#874583
Anthony Joyner,Philadelphia,PA,USA,39.952583,-75.165222,#874584
Anthony Sully,San Francisco,CA,USA,37.733795,-122.446747,#874585
Larry Lamont White,Louisville,KY,USA,38.224,-85.743,#874586
Milton Johnson,Joliet,IL,USA,41.520557,-88.150558,#874587
William Paul Thompson,Wichita Falls,TX,USA,33.930828,-98.484879,#874588
Brian Dugan,Nashua,NH,USA,42.765366,-71.467567,#874589
Leonard Lake,San Francisco,CA,USA,37.733795,-122.446747,#874590
Charles Ng,San Francisco,CA,USA,37.733795,-122.446747,#874591
David Dowler,Albuquerque,NM,USA,35.106766,-106.629181,#874592
Dayton Leroy Rogers,Moscow,ID,USA,46.731705,-116.999939,#874593
Homer Jackson,Berkeley,CA,USA,37.871666,-122.272781,#874594
Edward Mayrand,Northampton,MA,USA,42.3251,-72.6412,#874595
Jack Harold Jones,Toledo,OH,USA,41.651031,-83.541939,#874596
William Bradford,Pleasanton,CA,USA,37.6575,-121.8715,#874597
Richard Clarey,Wiesbaden,West Germany,Germany,50.08258,8.24932,#874598
Alton Coleman,Waukegan,IL,USA,42.3702,-87.8568,#874599
Fernando Cota,El Paso,TX,USA,,,#874600
Alvin Andrew Kelly,Culberson County,TX,USA,31.56,-104.08,#874601
Raymond Lassor,Westerly,RI,USA,41.3732,-71.823,#874602
Bobby Joe Long,Kenova,WV,USA,38.3989711,-82.5782139,#874603
Christopher Wilder,Sydney,New South Wales,Australia,151.2099,-33.865143,#874604
Theresa Knorr,Sacramento,CA,USA,38.575764,-121.478851,#874605
Richard Ramirez,El Paso,TX,USA,31.772543,-106.460953,#874606
Anthony Wimberly,Antioch,CA,USA,38.005001,-121.805832,#874607
Faryion Wardrip,Salem,IN,USA,38.60561,-86.10109,#874608
Robert Berdella,Cuyahoga Falls,OH,USA,41.1407,-81.4913,#874609
Louis Craine,Los Angeles,CA,USA,34.052235,-118.243683,#874610
Timothy Wilson Spencer,Green Valley,VA,USA,38.8551124,-77.0885893,#874611
Robert Neal Rodriguez,Portland,OR,USA,45.523064,-122.676483,#874612
(Speed Freak Killers) Loren Herzog,Linden,CA,USA,38.01814,-121.101562,#874613
(Speed Freak Killers) Wesley Shermantine,Linden,CA,USA,38.01814,-121.101562,#874614
John Edward Robinson,Cicero,IL,USA,41.8452,-87.7599,#874615
Anthony McKnight,San Quentin State Prison,CA,USA,37.9375,-122.4891,#874616
Curtis Don Brown,,TX,USA,,,#874617
Ricky Lee Green,Fort Worth,TX,USA,32.768799,-97.309341,#874618
Michael Terry,Tallassee,AL,USA,32.53699785,-85.88916311,#874619
Timothy Gribble,Cook County,IL,USA,41.7999968,-87.7166638,#874620
Frank A. Walls,Ocean City,FL,USA,30.44103,-86.61356,#874621
Jerry Little,Marks,MS,USA,34.25299899,-90.27033225,#874622
